Name,Website,HQ,Type,Estimated Site Count,States,Intera ICP Score,Overall Site Quality,Recruitment Strength,Operational Maturity,Sponsor Attractiveness,Therapeutic Expertise,Historical Trials (CT.gov),Completed,Terminated/Withdrawn,Completion Rate %,Active Now,Recruiting Studies,Phase 2 Trials,Phase 3 Trials,Total Realized Enrollment,First Study Year,Years Active,Therapeutic Breadth (conditions),Performance Match Confidence,Sponsor Diversity (#),CRO Diversity (#),Repeat Sponsors (#),Industry-Sponsored Studies,Top Sponsors,Named CROs,Enrollment Velocity (inf),Startup Speed (inf),Recruitment Sophistication,Publication History (inf),CTMS,EHR,eSource,eConsent,Florence,CRIO,Clinical Conductor,RealTime,Epic,Cerner,Therapeutic Areas,Therapeutic Specialties (detail),Languages,Home Visits,Decentralized Capabilities,Number of Investigators,Approx Coordinator Count,Sponsors Worked With,CROs Worked With,Public Partnerships,Recent Hiring,Expansion,Funding,Acquisitions,Owner/Parent/Funding,Facebook Ads,Meta Pixel,Google Ads,SEO,Trial Finder,Patient Database,Recruitment Pages,Advertises Patient Recruitment,Technology Stack,Uses AI,Builds Tech Internally or Vendors,Current Recruiting Studies Visible,CEO,VP Clinical Operations,VP Site Operations,VP Recruitment/Innovation,Contact Emails,LinkedIn URL,Mentions DCT,Recruitment Capability,Notes
UCHealth,https://www.uchealth.org/research-studies/,"Aurora, Colorado",Academic Network,14,"Colorado, Wyoming, Nebraska",8,69,55,70,69,85,398,82,27,75,279,109,150,162,186350,2004,23,1354,high,66,106,18,172,"National Cancer Institute (NCI); University of Colorado, Denver; NRG Oncology; Alliance for Clinical Trials in Oncology; SWOG Cancer Research Network; ECOG-ACRIN Cancer Research Group","Microvention-Terumo, Inc.; Premier Research",8102,68,43,75,,Epic (MyChart),Y,,,,,,Y,,"Oncology, Cardiology, Orthopedics, Cancer, Aging, Women's Health, Men's Health","Aging, cancer, heart, orthopedics, exercise, women's/men's health, medications, devices, diagnostics",English + Spanish (detected),,,,,,,University of Colorado Anschutz Medical Campus,,,Academic/health system,,"Non-profit Academic Health System, Partnership with University of Colorado Cancer Center (NCI-designated)",,,,,Y,,Y,Y,"My Health Connection patient portal, cloud platforms (implied)",Y,Vendors (cloud-based platforms noted),Y,Elizabeth Concordia,Unknown,Unknown,Unknown,Roster@nrgoncology.org,https://www.linkedin.com/company/university-of-colorado-health/,N,High - hundreds of clinical trials with patient engagement platform (My Health Connection) for trial matching,"Large academic health system (14 hospitals, 35,000+ employees, $9B operating revenue) with NCI partnership and patient-centered recruitment platform. Strong research infrastructure. ctgov_note: 7 recruiting trials across 4 location(s), states: Colorado"
Elite Clinical Studies,https://www.eliteclinicalstudies.com/,"Phoenix, Arizona",Independent Network,10,Arizona,7,69,80,72,62,59,142,90,17,84,34,12,43,91,256376,2002,24,104,high,68,28,23,139,Pfizer; Novo Nordisk A/S; Eli Lilly and Company; Amgen; Shire; Novartis Pharmaceuticals,"Acrotech Biopharma Inc.; Allucent; IQVIA Pty Ltd; Medpace, Inc.; Microbiome Health Sciences; PPD Development, LP",10682,92,100,61,,,,,,,,,,,"Neurological/AFib, alopecia, IBS-D, opiate addiction, most major indications (multi-specialty)","Neurology, Addiction (opiate), Cardiac (AFib), Rheumatology (gout), Obstetrics (fibroids), Multi-specialty",English + Spanish (detected),,,"4+ (Joseph Lillo DO, Brent Sanders MD, Alison Smith Gibeau MD, others)",5-14 staff,Multiple pharma,Multiple CROs,,Limited (14 total employees per ZoomInfo),Limited (single Phoenix location),Private (self-owned since 2009),,"Private (Founded 2009, LLC structure, Diane J. Saine and Richard Saine members)",Y (detected),Y,Y,,Y,Y,Y,Y,"State-of-the-art facilities, on-site pharmacy, laboratory, advanced testing equipment; secured wireless internet",N,Vendors (relies on external tech infrastructure),Y,"Diane J. Saine, CCRC (Managing Partner/Owner)",Unknown,Aimee M. Thornton (Director of Operations/Source Management),Unknown,"dianejo@eliteclinicalstudies.com, nicole@eliteclinicalstudies.com, aimee@eliteclinicalstudies.com, joseph@eliteclinicalstudies.com, brent@eliteclinicalstudies.com",,N,"Extensive database, social media, advertising, community outreach; dedicated recruiting team; 15+ years proven execution","Multi-specialty dedicated research facility with 10 PIs, extensive participant database, proven recruitment execution. Strong multi-site capability across Phoenix metro area, active recruitment marketing, 15+ years track record. Good Intera fit: multi-therapeutic, recruitment-focused, proven enrollment performance."
Discovery Clinical Trials,https://discoverytrials.com,"San Antonio, Texas",Site Network,5,TX,6,69,65,76,68,64,166,108,17,86,38,19,39,110,252342,2001,25,133,high,82,25,34,161,"Pfizer; AbbVie; Bayer; Kowa Research Institute, Inc.; Boehringer Ingelheim; Amgen","Covance; ICON plc; Medpace, Inc.; PPD Development, LP; PRA Health Sciences; Teva Branded Pharmaceutical Products R&D, Inc.",10094,93,57,66,,,Y,Y,,,,,,,"Multi-specialty: Dermatology, Rheumatology, Neurology, GI, Allergy, Cardiology, Ophthalmology, OB-GYN, Endocrine, Orthopedics, Pain Management, Primary Care, Respiratory","Neurology/Rheumatology, Gastroenterology, Allergies, Endocrine, Orthopedics, Pain Management, Primary Care, Psychiatry, Dermatology, Cardiology, Ophthalmology, Pediatrics, OB-GYN, Respiration",English + Spanish (detected),,Y (site mentions),Board-certified physicians with research experience,,,,,"Y (careers page active, clinical coordinators, staff positions)","Y (multiple Texas locations: San Antonio, Dallas, Rio Grande Valley)","No funding (unfunded, private)",,"Trudy Madan (Founder/CEO, 2009); Part of Synergyst Research (founded 2006)",Unknown (not verified),Y,,Y (blog section with latest posts),Y,,Y,Y,Unknown,N,Unknown,Y,Trudy Madan,Unknown,Unknown,Unknown,[email protected],https://www.linkedin.com/company/discovery-clinical-trials,N,Multi-location network across Texas; active enrollment outreach; web and phone enrollment channels; location-based trial matching,"Good fit: 5 sites across Texas (DFW, San Antonio, Rio Grande Valley), diverse therapeutic areas, active recruitment/enrollment outreach. Synergyst Research parent company (Inc. 5000 five-time honoree). Multiple therapeutic areas and enrollment channels. Limited to Texas footprint; no national presence; no visible tech stack or AI mentioned."
Woodland International Research Group,https://woodlandlittlerock.com,"Little Rock, AR",Independent Site,1,Arkansas,6,69,65,72,66,72,190,100,16,86,73,38,54,114,137296,2006,20,537,high,68,34,26,168,"National Cancer Institute (NCI); Otsuka Pharmaceutical Development & Commercialization, Inc.; Sumitomo Pharma America, Inc.; SWOG Cancer Research Network; Indivior Inc.; AbbVie","Allucent; Medpace, Inc.; PRA Health Sciences; Syneos Health",6865,93,86,66,,,Y,Y,,,,,,,"Psychiatry, Neurology, Depression, Schizophrenia, Bipolar Disorder, Obesity, Pain, Addiction, Musculoskeletal, General Medicine","Psychiatry/CNS (schizophrenia, bipolar, depression, addiction, bunion); 50+ indications via ERG","English, Spanish",,N; Little Rock site (part of ERG Network with 10 sites),,,Various pharma,,Evolution Research Group (ERG Network),Y; ERG network,Y; part of 10-site ERG network,,N,Part of ERG Clinical network (ERG portfolio company),"Y; Meta Pixel, Google Ads detected",Y,Y,"Y; blog (mental health, addiction research)",Y,,Y,Y,Standard clinical research infrastructure; MyTrial App (v2),Unknown,Vendors,Y,Unknown,Ashley Poole (Executive Director and Therapeutic Area Lead),Unknown,Unknown,apoole@ergclinical.com,Unknown,Unknown,"High - Single facility with broad therapeutic coverage, 12+ enrolling studies","Clinical research facility founded to serve Little Rock, AR need for high-quality clinical trials. Leadership: Dr. George Konis (Principal Investigator, Board Certified Family Medicine/Pain/Addiction, 220+ trials as PI/Sub-I), Dr. Natalie Brush-Strode (Principal Investigator, Board Certified General & Forensic Psychiatry), Ashley Poole (Executive Director). Part of ERG network. Address: 910/1014 Autumn Rd, Little Rock AR 72211. Phone: 501-221-8681. Therapeutic focus: Schizophrenia, Depression, Bipolar Disorder, Obesity, Addiction, Pain, General Medicine. MyTrial App for patient management. ClinicalTrials.gov signal: 8 recruiting trials, 12 total enrolling as of July 2026."
Northwest Houston Heart Center,,Texas,Independent Site,1,Texas,5,69,66,71,68,73,178,81,15,84,75,28,21,128,1346759,2000,26,467,high,59,66,29,134,National Cancer Institute (NCI); Pfizer; Novartis Pharmaceuticals; Amgen; Alliance for Clinical Trials in Oncology; Eli Lilly and Company,IQVIA Pvt. Ltd,51798,72,0,71,,,,,,,,,,,"Cardiometabolic (cardiology/endocrinology/hepatology/renal, per ClinicalTrials.gov)",,,,,,,,,,,,,,Unknown,,,,,,,,Unknown,Unknown,Unknown,Unknown,Y,,,,,dburns@houstonheartcenter.com,,Unknown,4 active recruiting cardiometabolic trials (ClinicalTrials.gov),Surfaced via ClinicalTrials.gov mining (not on curated lists). 4 active recruiting cardiometabolic trials across 1 location(s). Actively-recruiting independent site = warm Intera lead; website/leadership not yet verified.
Optimal Research,https://optimalresearchsites.net,"Orange City, FL; DeBary, FL",Independent Network,2,FL,5,69,77,67,67,63,182,130,16,89,34,11,77,82,649070,2012,14,154,high,77,29,26,180,"ModernaTX, Inc.; Pfizer; Janssen Vaccines & Prevention B.V.; Sanofi Pasteur, a Sanofi Company; Merck Sharp & Dohme LLC; Boehringer Ingelheim","Medpace, Inc.; Parexel; Premier Research; Syneos Health",46362,74,43,56,Generic/Unnamed,,,,,,,,,,"Endocrinology, Metabolic, Pulmonology, Psychiatry, Cardiovascular, Pediatric Endocrinology, Rheumatology, Dermatology, Infectious Disease","Endocrinology, Metabolic, Pulmonology, Psychiatry, Cardiovascular, Pediatric Endocrinology, Rheumatology, Dermatology, Infectious Disease",Bilingual English/Spanish,Y - distributed community recruitment model,Y - on-site facility with 24/7 enrollment access,Licensed PI with board-certified clinicians (30+ years experience),Team of board-certified coordinators (size unknown),,,,,,,,"Privately held; co-owners: Claxton Copeland III, Kimberlee Del Campo, Roy Richardson, Antonio Rivera",Unable to detect,,,Moderate - study information pages indexed,Y,,Y,Y,Unknown,N,Unknown,Y,Claxton Copeland III,Unknown,Unknown,Unknown,studies@optimalresearchsites.net,https://www.linkedin.com/company/optimalresearchsites,N,24/7 enrollment line; rapid IRB turnaround; in-house regulatory; bilingual staff (English/Spanish); 30+ years experience; Phase I unit on-site,"Independent investigator-led site with 30+ years experience. 2 locations in Central Florida. Strong therapeutic breadth (endocrine, metabolic, CV, CNS). 12 active studies visible. Limited scale (small team) but excellent recruitment infrastructure and diverse patient access."
CenExel Clinical Research,https://cenexelresearch.com,"Salt Lake City, UT",SMO,18,"AZ, CA, CO, FL, GA, MD, NJ, UT",8,68,64,70,71,66,227,96,16,86,114,62,107,94,291323,2012,14,157,high,99,26,33,224,"ModernaTX, Inc.; Eli Lilly and Company; Hoffmann-La Roche; Sanofi Pasteur, a Sanofi Company; AbbVie; Pfizer",Allucent; Premier Research; Worldwide Clinical Trials,20809,93,29,57,,,Y,,,,,,,,"CNS, early-phase, pain, metabolic/endocrine (obesity, T2D), vaccines, complex neurology","Early-phase; First-in-Human, Psychedelics, SAD/MAD studies",English + Spanish (detected),,Unknown; patient-centric recruitment mentioned,Board-certified physicians (exact count unknown),,Multiple pharma/biotech (unspecified),CRO collaborations,,,"360,000+ sq ft footprint; 600+ beds; multiple U.S. locations",,None identified,BayPine LP (majority); Webster Equity (minority),,,,Moderate; patient app and early-phase specialty focus,,Y; CenExel Clinical Trials App for participant recruitment,,Y,CenExel Trials App (patient engagement platform); advanced data analytics,N,Vendors + proprietary apps (CenExel Trials App),Y,Sy Pretorius (as of May 2026),Patrick McLaughlin (Chief Operating Officer),Unknown,"Cindi Heckmann (VP, Patient Recruitment and Engagement)",Unknown,https://www.linkedin.com/company/cenexel-clinical-research,N,Patient-centric approach; 600+ bed capacity; consistently exceeds 100% enrollment targets; advanced recruitment strategies; participant-focused programs,"Strong Intera fit: 18-site network, 600+ beds, specializes in high-enrollment areas (early-phase, CNS, metabolic). Active recruitment with patient-focused engagement apps. Multiple concurrent recruiting studies evident. Demonstrates recruitment capability and scale. Well-capitalized with growth trajectory. [Validated: 3 active recruiting cardiometabolic trials on ClinicalTrials.gov.]"
Florida Cancer Specialists South / Sarah Cannon Research Institute,https://www.flcancer.com/,"Fort Myers, FL",Site Network,100,Florida,8,68,52,77,72,74,216,119,28,81,63,30,80,111,88326,2001,25,346,high,91,45,28,213,"Eli Lilly and Company; Novartis Pharmaceuticals; Pfizer; Hoffmann-La Roche; Genentech, Inc.; Seagen, a wholly owned subsidiary of Pfizer",ICON Clinical Research; MacroGenics,3533,90,71,73,,,Y,,,,,,,,Oncology (comprehensive cancer care),Oncology: cancer therapy focus,English + Spanish (detected),,Y - multiple Florida locations,180+ active clinical trials,,,,Sarah Cannon Research Institute,Y - recruiting physicians,"New sites: Downtown Sarasota, Marion County, Stuart",,,Physician-owned; partnership with McKesson Corporation and The US Oncology Network (2025),Y,Y,,,Y,,Y,Y,"Electronic health records, imaging systems, genomic testing platforms",N,Vendors (Sarah Cannon partnership),Y,Ryan Ciarrocchi,"Deja Ross-Jenkins, MSN, RN, OCN (VP Clinical Services)","Kodra Ncube, MHA, BSN, RN (VP Operations and Special Projects)","Kimberly Vigal, MHA (VP Clinical Research)",ClinicalTrials@FLCancer.com,https://www.linkedin.com/company/florida-cancer-specialists-research-institute/,N,High - 180+ active clinical trials at any time,Southern region of FCS network with 8 recruiting locations. Same parent organization and leadership as FCS North. CTGOV signal: 8 recruiting locations in Florida. Strong recruitment infrastructure and patient access to trials.
HonorHealth Research Institute,https://honorhealthresearch.org,"Scottsdale, AZ",Independent Site,1,Arizona,8,68,53,67,81,74,275,98,49,67,117,57,81,58,147387,2008,18,481,high,159,72,38,247,"HonorHealth Research Institute; Genentech, Inc.; Pfizer; AbbVie; Hoffmann-La Roche; Abbott Medical Devices",MicroPort Orthopedics Inc.; Parexel,8188,84,43,66,"OnCore, Clinical Conductor",Epic,Y,,,,,,,,"Oncology, Cardiovascular, Bariatric/GI, Neuroscience, Multispecialty, Translational Research","Bariatric/GI, cardiovascular, multispecialty, neuroscience, oncology",English + Spanish (detected),,,Multiple (300+ trials annually),,,,,Y (leadership additions),"Y (300+ annual trials, Scottsdale AZ)",,,Part of HonorHealth; affiliated with ASU School of Medicine,,,,,Y,,Y,Y,State-of-the-art research infrastructure and precision medicine focus,Unknown,Hybrid - Advanced research infrastructure,Y,"Mark A. Slater, PhD","Chad W. Adams, MPH (Chief Operations Officer)",Unknown,"Amy Mirabella, PhD, RN, CHPN (Director Research Clinical Operations)",anislas@honorhealth.com,https://www.linkedin.com/company/honorhealth-research-institute,Unknown,"Very High - 300+ studies/year, 2,500 patients in trials, all 50 states + 30+ countries","Leading international research destination established 2005. CEO Mark A. Slater, PhD (since 2007, VP Research/HonorHealth). Leadership: Michael S. Gordon, MD, FASCO (Chief Medical Officer), Sunil Sharma MD MBA FACP (Chief Translational Research), Chad W. Adams MPH (COO), Amy Mirabella PhD RN (Director Clinical Operations), Angelina Cooper MS CCRP (Director Business Development/Trauma Research), Megan Guthrie MBA MMC (Director Communications/Community Relations). 88 employees (+17% YoY). 300+ studies/year, 2,500 patients in trials, patients from all 50 states + 30+ nations. 4-month average trial launch window. Address: 10510 N 92nd St Ste 100, Scottsdale AZ 85258. ASU Research Professor affiliation. ClinicalTrials.gov signal: 8 recruiting trials."
Rainier Clinical Research Center,https://rainier-research.com/,"Renton, Washington",Independent Site (part of Curiex SMO network),1,Washington,8,68,59,82,63,64,212,163,12,93,34,19,60,83,184274,2001,25,97,high,66,23,23,212,"Eli Lilly and Company; Medtronic MiniMed, Inc.; Novo Nordisk A/S; Abbott Diabetes Care; Pfizer; Ascensia Diabetes Care","Medpace, Inc.; Syneos Health",7371,97,57,65,,,Y,,,,,,,,"Endocrinology, Cardiology, Infectious Disease, Gastroenterology, Neurology, Vaccines, Phase I-IV","Diabetes, Cardiology, Infectious Disease, Endocrinology, Gastroenterology, Medical Devices, Vaccines",English + Spanish (detected),,"N - single site focus (Renton, WA)",2+ co-medical directors,40+,200+ sponsors,200+ CROs,Part of Curiex network,Y - team growing,Unknown - part of Curiex,Part of Curiex,Acquired/part of Curiex (2019+),"Part of Curiex (founded 2019 by Eric Hayashi, SMO with independent site ownership model); RCRC founded 1991",,,,Y,Y,"Y - 20,000+ patient database",Y,Y,Unknown,N,Unknown,Y,Unknown,Unknown,Unknown,Unknown,"lb@op-t.com, recruitment@rainier-research.com",https://www.linkedin.com/company/rainier-clinical-research-center-llc,N,"Very High - 20k+ patient database, 1000+ studies completed, multi-specialty","Established site in Renton, WA (1991). Part of innovative Curiex SMO network. ClinicalTrials.gov validation: 6 active recruiting cardiometabolic trials. 20k sq ft facility, 700+ studies completed over 30 years, 15,000-strong patient database. Strong operational excellence and multi-therapeutic focus. Advanced equipment and Phase I unit."
Urgent Care Clinical Trials,https://www.urgentcareclinicaltrials.com,"Dallas, TX",SMO,Expanding (exact count unknown; developing first national ISN for urgent care),Multi-state (expanding nationally),8,68,60,76,67,66,168,118,28,81,20,9,44,112,463352,1998,28,134,high,79,36,25,163,"Pfizer; AbbVie; Susanna Naggie, MD; Allergan; Hoffmann-La Roche; Eli Lilly and Company","PPD Development, LP; Parexel",16548,80,14,70,,,,,,,,,,,"Urgent care + complementary: Primary Care, Pain Management, Cardiology, Dermatology, and other acute/chronic conditions",Multi-specialty urgent care focus,,,Y - national ISN for urgent care practices,,6,,,Urgent care practices network,,Y - building national ISN,,,Private (part of Kur Research holding company),,,,,,,,Y,Unknown,N,Unknown,Y,Adam Maciak,"Danielle Everett, MSN (Chief Operating Officer)",Unknown,Kelly McDonald (Senior Director of Recruitment and Engagement),1-866-300-5380,linkedin.com/company/urgent-care-clinical-trials,N,"SMO developing first national Investigative Site Network (ISN); assessment, implementation, and management services; recruitment staff; fast enrollment","Excellent Intera fit: rapid expansion phase, novel urgent care-focused SMO model, recruitment-focused, growth-oriented, multi-state expansion, strong recruitment director role, developing first national ISN for urgent care."
Epic Medical Research,https://www.epicmedresearch.com,"Unknown (appears to be multi-state; operations in TX, OK, LA, AL, AZ, NJ, CA)",Site Network,15-17 facilities across 5 states,"Texas (10 locations), Oklahoma, Louisiana, Alabama, Arizona, New Jersey, California",7,68,57,71,71,77,264,95,21,82,141,69,91,154,316782,2007,19,788,low,71,48,29,218,National Cancer Institute (NCI); Alliance for Clinical Trials in Oncology; SWOG Cancer Research Network; Pfizer; Amgen; Eli Lilly and Company,"ICON plc; IQVIA Pty Ltd; Medpace, Inc.",16673,91,14,68,,,,,,,,,,,"21+ areas including vaccines, cardiometabolic, neurology, psychiatry, oncology, gastroenterology, infectious disease, MASH/MASLD, respiratory, dermatology, orthopedics, rheumatology","Cardiometabolic, Dermatology, Infectious disease, Gastroenterology, Hematology, Neurology, Ophthalmology, Pain, Psychiatry, Respiratory, Vaccines, Bone disease, Device trials, Point-of-care testing",,,,Multiple,,Multiple pharma (140+ trials),Multiple CROs,,Y (careers page active),"Y (16+ facilities, 6 states: TX, OK, LA, AL, AZ, CA)",,,"Physician-owned; founded 2020 (formally); Dr. Haresh Boghara, MD, MBA and other PIs listed",,,,,,,,Y,"CLIA-certified labs, centralized operations",N,Unknown,Y,"Dr. Scott Huff, MD (Principal CEO and CMO)",,,,Multiple contact emails for different sites,https://www.linkedin.com/in/scott-huff-md-7511ba49,N,"Physician-owned multi-specialty network; 185,000-350,000+ diverse patients; 98.4% patient retention; 138% enrollment targets; 25+ active studies; rapid site activation and consistent quality","Growing multi-state physician-owned site network with 15+ facilities and broad therapeutic portfolio; strong enrollment performance (98.4% retention, 138% targets); 350K+ diverse patient base; recruitment-focused; multiple concurrent studies; broad therapeutic mix including high-volume areas (vaccines, cardiometabolic); newer organization but strong execution; good Intera fit—recruitment-capable, diverse patients, multiple studies, growth trajectory [Validated: 11 active recruiting cardiometabolic trials on ClinicalTrials.gov.]"
Lillestol Research LLC,https://www.lillestolresearch.com/,"Fargo, North Dakota",Independent Site,1,North Dakota,7,68,77,77,54,58,135,96,6,94,33,11,42,83,511736,2000,26,94,high,53,15,20,133,"Eli Lilly and Company; Pfizer; Novo Nordisk A/S; Amgen; Boehringer Ingelheim; Astellas Pharma Global Development, Inc.",Premier Research,19682,97,57,62,Unknown (Veeva listing suggests possible use),,,,,,,,,,"Type 2 Diabetes, Obesity, Cardiovascular Disease, Diabetic Peripheral Neuropathic Pain, Chronic Pain","Diabetes, obesity, cardiovascular, chronic pain, diabetic neuropathy",,,,"Multiple (Michael J. Lillestol, MD with 300+ trials)","5-10+ (Mary L. Lillestol RN, Jamie M. Brown PA-C, lab staff)",Multiple (not specifically named),,,Y - Laboratory Coordinator/Phlebotomy positions,Unknown recent expansion,,,Private; founder-led (Dr. Michael & Mary Lillestol founded in 2004),,,,"Y - 23 active trials, Veeva listing shows strong presence",Y,Y (extensive diabetic/metabolic patient base),Y,Y,Unknown,N,Unknown,Y,"Michael J. Lillestol, MD, FACP (President)","Mary L. Lillestol, RN (VP/CFO)","Jamie M. Brown, PA-C (Director of Operations)",Kimberly Peterson (COO),unitedstates@bitrialsupport.com,https://www.linkedin.com/company/lillestol-research-llc,N,"High - 23 active trials, large patient database (20k+)","Single-location site in Fargo, ND, operational since 2004. Strong cardiometabolic focus. ClinicalTrials.gov validation: 6 active recruiting cardiometabolic trials. 20k+ patient database, 23 total active trials, 126 total trials conducted. Founder-led structure with family involvement. Good recruitment signals and patient engagement."
Clinical Research Philadelphia,https://phillyresearch.com,"Philadelphia, PA",Independent Network,2,"PA, NJ",6,68,52,79,71,71,182,106,20,84,53,34,59,93,139757,1996,30,260,high,97,42,31,156,National Institute of Allergy and Infectious Diseases (NIAID); Children's Oncology Group; Gilead Sciences; National Cancer Institute (NCI); Boehringer Ingelheim; Novartis Pharmaceuticals,"IQVIA Pty Ltd; MacroGenics; PRA Health Sciences; Rho Federal Systems Division, Inc.; The Emmes Company, LLC; Worldwide Clinical Trials",4659,92,57,74,Yes - Fully electronic CTMS,Yes,Y,Y,,,,,,,"Dermatology, Rheumatology, Women's Health, Metabolic Disease, Cardiovascular, Chronic Kidney Disease, Rare Diseases, Migraine, Alzheimer's Disease","Liver Disease, Lp(a), Atopic Dermatitis, Cardiovascular, Metabolic",English + Spanish (detected),,Y - Remote monitoring and decentralized trial support,Multiple board-certified physicians,,Multiple leading sponsors,,,,2 Philadelphia-area locations,,,Private; established 1996,,,,"Y - Active blog, ranks for study terms",Y,"Yes (10,000+ participants since 1996; 500+ completed trials)",Y,Y,Fully electronic CTMS (CRIO eSource/eReg); AI-enabled EMR integration; electronic data capture systems,Y,Vendors,Y,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,N,"AI-based EMR mining for patient recruitment; network of 70+ provider partnerships with access to 300,000+ patients; rapid diversity-focused enrollment; <7 days greenlight to first screen","Long-standing site (founded 1996, 500+ trials, 10,000+ participants). 2-site network with strong execution metrics (95% enrollment goal achievement, <7 day activation). AI-driven recruitment using EMR integration; broad provider network (70+ partners, 300K patient access). Diverse enrollment focus aligns with FDA guidance. Limited geographic scope (PA/NJ only). No explicit DCT or multi-state expansion. Tech-enabled recruitment is strong differentiator. [Validated: 25 active recruiting cardiometabolic trials on ClinicalTrials.gov.]"
Louisiana Research Center,https://laresearch.org/,"Shreveport, Louisiana",Independent Site,1,Louisiana,6,68,54,80,67,69,145,99,10,91,32,12,37,72,157503,1995,31,280,high,87,58,22,121,SWOG Cancer Research Network; Pfizer; National Cancer Institute (NCI); AbbVie; NSABP Foundation Inc; Eastern Cooperative Oncology Group,"ICON Clinical Research; Medpace, Inc.; MicroConstants; The Emmes Company, LLC",5081,96,57,73,,,,,,,,,,,"Gastroenterology, Fatty Liver (NASH), Hepatitis, Inflammatory Bowel Disease, Irritable Bowel Syndrome, GERD, Hepatology","Gastroenterology (peptic ulcer, GERD, IBD, IBS, NASH, Hepatitis C)",,,,"2 named (Aguilar, Dies); 13 in parent GI group",5 full-time coordinators,Multiple pharma (not named),Multiple CROs,"GastroIntestinal Specialists, A.M.C.",,2 locations,,,"Owned by GastroIntestinal Specialists, A.M.C. (founded 1979); LRC formed from successful studies",,,,Established 1992; active recruitment,Y,Y; large population base,Y,Y,Unknown,N,Unknown,Y,Unknown,Unknown,Unknown,Unknown,unitedstates@bitrialsupport.com,https://www.linkedin.com/company/gastrointestinal-specialists-a-m-c,N,High - award-winning recruitment & retention,"Based at 1800 East 70th Street, Shreveport, LA. ClinicalTrials.gov validation: 6 active recruiting cardiometabolic trials (27 active of 115 total). Founded from successful GI studies (1992+); formal LRC launch after achievements. Part of larger GIS group (13 physicians, 16+ mid-level practitioners). Strong GI/hepatology focus. Award-winning patient recruitment."
Arthritis and Rheumatology Research Institute,https://www.dfwarthritis.com,"Frisco/Allen, Texas",Independent Site,2,Texas,5,68,47,81,76,70,308,200,46,81,60,27,112,164,221789,2000,26,125,high,93,36,41,294,"Pfizer; AbbVie; Amgen; Eli Lilly and Company; Janssen Research & Development, LLC; Bristol-Myers Squibb","ICON plc; IQVIA Pvt. Ltd; Medpace, Inc.; PPD Development, LP; Premier Research; Rho Federal Systems Division, Inc.",8530,90,14,71,,,,,,,,,,,"Rheumatology, Rheumatoid Arthritis, Lupus, Gout, Psoriatic Arthritis, Polymyalgia Rheumatica, Sjögren's Syndrome, Autoimmune Disorders","Rheumatology: arthritis, gout, lupus, immune-mediated inflammatory diseases",English,,"Y - 2 locations (Frisco, Allen TX)",7+ providers,,,,,,2 established locations (DFW area),,,Private practice / Specialty research institute,,,,"Limited (basic site, minimal content)",N,,N,Yes,Unknown,Unknown,Unknown,Yes - Multiple active autoimmune trials,Unknown,Unknown,Unknown,Unknown,,Unknown,No,Yes - Specialized rheumatology research platform,"ClinicalTrials.gov signal: 5 recruiting trials across 1 location(s), states: Texas. DFW practice with locations in Frisco and Allen; connected research operation ARH Research based in The Woodlands/Montgomery serving East Texas. Lead investigator: Dr. Tamar F. Brionez, board-certified rheumatologist with 10+ years experience (private practice since 2009). Research focuses on autoimmune conditions with decade of pharma industry relationships. Phone: (936) 681-4882 (ARH Research). Specialty focus may limit recruitment volume but strong expertise in rheumatology therapeutic area."
Benchmark Research,https://www.benchmarkresearch.net,"Austin, Texas",SMO,10,"Texas, California, Louisiana, Ecuador",5,68,67,75,64,65,191,166,9,95,13,2,71,100,709773,2004,21,139,high,68,19,28,190,"Pfizer; ModernaTX, Inc.; Novavax; Merck Sharp & Dohme LLC; Sanofi Pasteur, a Sanofi Company; MedImmune LLC","PPD Development, LP; Parexel; Syneos Health; Teva Branded Pharmaceutical Products R&D, Inc.",33799,80,14,62,,,Y (CRIO eSource),,,,,,,,"Vaccines (specialty), General Medicine","Vaccines, allergy, infectious disease, general medicine, COVID-19, obesity",English,,"Y - 8 sites (TX, CA, LA, Ecuador)",8+ (8 site locations),34 employees (network-wide),"Multiple pharma/biotech, Operation Warp Speed",Multiple,,Unknown (part of Avacare),"8 sites, acquired by Avacare 2023",Acquired by Avacare Clinical Research Network,Acquired by Avacare,Avacare Clinical Research Network (acquired into Avacare),,,,"Good (vaccine specialist, awards)",Y (64 trials),,,N,CRIO eSource platform; data quality/patient safety tech,N,Vendors (CRIO eSource),Y,Unknown (historical: Benchmark leadership; now Avacare),Unknown,"Scott Barrett (COO, historical)",Unknown,webcontact-bmr@avacare.com,https://www.linkedin.com/company/benchmark-research_2/,N,"Leading vaccine site network; 1,000+ vaccine trials; 40,000+ trial participants; high-volume vaccine expertise; World Vaccine Congress award (5x)","Moderate Intera fit: Highly specialized vaccine network (not ideal for Intera's multi-therapeutic focus); 10 sites with proven 1,000+ vaccine trial execution and high recruitment quality. Recent acquisition into Avacare may limit independence. Excellent in niche but too specialized and small-scale for Intera's broad platform."
